0,10,20,30,40,50,60,70,80,90,100
#0.1,0,0,0.00040759,0.000411265,0.000779609,0.0009029,0.000466146,0.000553629,0.001061159,0.001264326
#0.2,0,0.000231378,0.001494497,0.001972969,0.001984459,0.002765132,0.003029951,0.003865707,0.004244971,0.003970201
#0.3,0.00240824,0.001619647,0.003040275,0.004885447,0.004961147,0.006102045,0.007202417,0.00878982,0.008164413,0.008395636
#0.4,0.00120412,0.00393343,0.006844449,0.008949284,0.011375894,0.012119442,0.012860837,0.014460053,0.017150755,0.016122216
#0.5,0.00481648,0.006709968,0.012121362,0.012214537,0.016230731,0.01812356,0.019222894,0.021342798,0.025286137,0.02425917
#0.6,0.0060206,0.008560994,0.013773481,0.020154307,0.020741964,0.022172779,0.025343956,0.031289113,0.033783569,0.036635577
#0.7,0.00541854,0.016283807,0.022741791,0.025439505,0.030267153,0.031661803,0.0355227,0.042237935,0.046403538,0.047919766
#0.8,0.00842884,0.017296652,0.025306544,0.031253866,0.036874484,0.042766586,0.05045198,0.05292817,0.057669531,0.062813242
#0.9,0.01384738,0.024209642,0.036074379,0.041788801,0.047509564,0.055353517,0.062656588,0.067584193,0.072955314,0.080087058
#1.0,0.01685768,0.031498056,0.03977732,0.053141279,0.060989251,0.067517299,0.074653991,0.08256533,0.08481968,0.093363871
